Distance,time,Lat,Lon,Elevation,Elevation SavGol,Elevation SavGol Difference,Elevation Difference,Time Difference,DistanceChangeInKM,Angle Difference,PaceInMinPerKM,Distance,Gradient,Minetti GAP,Strava GAP
29.24462875365204,1970-01-01 02:15:34+00:00,43.221577,-80.01079,234.2,229.0217977052739,-0.31980076995176887,0.4000000000000057,1.0,0.004630116595304656,53.56156661430737,3.713463764131638,29.24462875365204,-10.183188098593988,0.5639814076717727,0.8954914885820341
29.249780029097362,1970-01-01 02:15:35+00:00,43.221621,-80.01077,234.0,228.70318096643533,-0.31861673883858543,0.19999999999998863,1.0,0.005151275445321346,59.751737467796545,3.696788952468947,29.249780029097362,-6.260812450446324,0.7076004306419682,0.8836231675725843
29.25480990285001,1970-01-01 02:15:36+00:00,43.221661,-80.010741,233.8,228.38677578976782,-0.31640517666750156,0.19999999999998863,1.0,0.005029873752647518,31.88373858045304,3.690435212036208,29.25480990285001,-3.9293882702594995,0.8068786277030796,0.9067563470417985
29.26037129270462,1970-01-01 02:15:37+00:00,43.221707,-80.010714,232.6,228.0726239265771,-0.3141518631907161,1.200000000000017,1.0,0.005561389854609189,25.124766813857832,3.6746959119724556,29.26037129270462,-12.776791491280365,0.48309761297815235,0.941346321891631
29.265509765203866,1970-01-01 02:15:38+00:00,43.221746,-80.01068,232.0,227.7607680260465,-0.31185590053061674,0.5999999999999943,1.0,0.005138472499247371,41.95075215345986,3.6601296744308915,29.265509765203866,-16.62698092075514,0.37982776610828495,1.072598361485272
29.270011946956686,1970-01-01 02:15:39+00:00,43.221778,-80.010646,231.6,227.4502649576067,-0.31050306843980024,0.4000000000000057,1.0,0.004502181752819467,56.89784425135963,3.64959095096447,29.270011946956686,-10.280601570735413,0.5607547111030913,0.896643178767768
29.274644794304,1970-01-01 02:15:40+00:00,43.221813,-80.010615,230.6,227.1391855864673,-0.31107937113938533,1.0,1.0,0.004632847347313174,48.00110098272319,3.64146569354795,29.274644794304,-15.234789592707472,0.4151374339429419,1.015815696530023
29.278834391124462,1970-01-01 02:15:41+00:00,43.22184,-80.010579,230.0,226.82859459336933,-0.3105909930979749,0.5999999999999943,1.0,0.004189596820463493,29.25998303572709,3.6295834110945924,29.278834391124462,-17.953092478869376,0.3479936284175652,1.1372768553960486
29.282789550073982,1970-01-01 02:15:42+00:00,43.221858,-80.010537,229.8,226.5205437856224,-0.3080508077469233,0.19999999999998863,1.0,0.003955158949519699,7.520720497665479,3.618889399706169,29.282789550073982,-9.688936950663395,0.58059298073299,0.8903103104075352
29.287658264707133,1970-01-01 02:15:43+00:00,43.221877,-80.010483,228.6,226.21307204154857,-0.3074717440738368,1.200000000000017,1.0,0.004868714633150972,9.383664224928623,3.60809008124319,29.287658264707133,-14.851924568527334,0.4252267298842757,1.0021062242825656
29.292275714494203,1970-01-01 02:15:44+00:00,43.221905,-80.010441,228.2,225.9052389242116,-0.30783311733696905,0.4000000000000057,1.0,0.004617449787069461,9.911858673969789,3.599648229471223,29.292275714494203,-16.654976408888324,0.37913856770519005,1.0738547227678399
29.297458329667972,1970-01-01 02:15:45+00:00,43.221943,-80.010404,227.6,225.6001180480094,-0.30512087620220996,0.5999999999999943,1.0,0.005182615173769278,5.388380444153654,3.592392233569753,29.297458329667972,-10.119978602253127,0.566083416498345,0.8947672809960596
