Distance,time,Lat,Lon,Elevation,Elevation SavGol,Elevation SavGol Difference,alt_dif,time_dif,DistanceChangeInKM,angle_diff,PaceInMinPerKM,pace,Distance,Gradient,GAP
8.190000000000001,1970-01-01 00:27:54.665657244,42.960453826086955,-81.31095682608695,240.7,242.89905207163446,0.3826230773788394,0.8260869565217391,4.0,0.022152676479540306,1.8440176963214867,3.0094181499124244,3.008679542238117,8.190000000000001,-3.994838646334972,0.8039378920936268
8.191,1970-01-01 00:27:54.842635855,42.960453782608695,-81.31094478260869,240.7,242.88226088797808,0.3828111903639895,0.782608695652174,4.0,0.022176304096513742,1.7900832874843218,3.0062117824740278,3.0056958583453044,8.191,-3.5600560376388195,0.8236451577035315
8.192,1970-01-01 00:27:55.019614467,42.960453739130436,-81.31093273913044,240.7,242.86546970432173,0.3829993033491395,0.7391304347826086,4.0,0.022199931713487175,1.7361488786471568,3.003012240175699,3.002686755037292,8.192,-3.1252734289429513,0.8437617970325987
8.193000000000001,1970-01-01 00:27:55.196593078,42.96045369565217,-81.31092069565217,240.7,242.84867852066535,0.3831874163342896,0.6956521739130435,4.0,0.02222355933046061,1.682214469809992,2.999819501248404,2.9996523333953578,8.193000000000001,-2.690490820247855,0.8642944295625618
8.194,1970-01-01 00:27:55.373571690,42.96045365217391,-81.31090865217391,240.7,242.83188733700896,0.3833755293194397,0.6521739130434783,4.0,0.022247186947434047,1.628280060972827,2.99663354401559,2.9965926940632563,8.194,-2.255708211551987,0.8852497258886975
8.195,1970-01-01 00:27:55.550550301,42.96045360869565,-81.31089660869564,240.7,242.81509615335258,0.3835636423045897,0.6086956521739131,4.0,0.022270814564407482,1.574345652135662,2.9934543468926926,2.993507937249448,8.195,-1.8209256028561185,0.906634416916058
8.196000000000002,1970-01-01 00:27:55.727528913,42.96045356521739,-81.31088456521739,240.7,242.7983049696962,0.3837517552897398,0.5652173913043479,4.0,0.02229444218138092,1.520411243298497,2.9902818883866478,2.990398162729319,8.196000000000002,0.0,1.0010151955876356
8.197000000000001,1970-01-01 00:27:55.904507525,42.96045352173913,-81.31087252173913,240.7,242.78151378603982,0.38393986827488985,0.5217391304347826,4.0,0.022318069798354354,1.4664768344613321,2.9871161470954086,2.987263469847386,8.197000000000001,0.0,1.0010151955876356
8.198,1970-01-01 00:27:56.081486136,42.96045347826087,-81.31086047826086,240.7,242.76472260238344,0.38412798126003994,0.4782608695652174,4.0,0.02234169741532779,1.4125424256241672,2.9839571017074644,2.9841039575194923,8.198,0.0,1.0010151955876356
8.199,1970-01-01 00:27:56.258464748,42.96045343478261,-81.3108484347826,240.7,242.74793141872706,0.38431609424519,0.4347826086956522,4.0,0.022365325032301226,1.3586080167870023,2.9808047310013612,2.9811364838612358,8.199,0.0,1.0010151955876356
8.200000000000001,1970-01-01 00:27:56.435443359,42.96045339130435,-81.31083639130435,240.7,242.73114023507068,0.38450420723034007,0.3913043478260869,4.0,0.022388952649274662,1.3046736079498373,2.977659013845227,2.9783607895749453,8.200000000000001,0.0,1.0010151955876356
8.201,1970-01-01 00:27:56.612421971,42.96045334782609,-81.31082434782608,240.7,242.7143490514143,0.3846923202154901,0.34782608695652173,4.0,0.022412580266248098,1.2507391991126724,2.9745199291962994,2.9757766163754287,8.201,0.0,1.0010151955876356
8.202,1970-01-01 00:27:56.789400582,42.96045330434783,-81.31081230434782,240.7,242.69755786775792,0.3848804332006402,0.30434782608695654,4.0,0.022436207883221534,1.1968047902755075,2.9713874561004574,2.9733837069859463,8.202,0.0,1.0010151955876356
8.203000000000001,1970-01-01 00:27:56.966379194,42.96045326086956,-81.31080026086956,240.7,242.68076668410154,0.3850685461857903,0.26086956521739135,4.0,0.02245983550019497,1.1428703814383425,2.968261573691755,2.9711818051342056,8.203000000000001,0.0,1.0010151955876356
8.204,1970-01-01 00:27:57.143357805,42.960453217391304,-81.3107882173913,240.7,242.6639755004452,0.3852566591709403,0.21739130434782616,4.0,0.022483463117168402,1.0889359726011776,2.9651422611919562,2.969170655548375,8.204,0.0,1.0010151955876356
8.205,1970-01-01 00:27:57.320336417,42.960453173913045,-81.31077617391304,240.7,242.6471843167888,0.3854447721560904,0.17391304347826086,4.0,0.022507090734141838,1.0350015637640126,2.9620294979100756,2.9673500039531255,8.205,0.0,1.0010151955876356
8.206000000000001,1970-01-01 00:27:57.497315029,42.960453130434786,-81.31076413043478,240.7,242.63039313313243,0.38563288514124044,0.13043478260869568,4.0,0.022530718351115274,0.9810671549268477,2.958923263241922,2.965719597065688,8.206000000000001,0.0,1.0010151955876356
8.207,1970-01-01 00:27:57.674293640,42.96045308695652,-81.31075208695651,240.7,242.61360194947605,0.38582099812639054,0.08695652173913049,4.0,0.02255434596808871,0.9271327460896828,2.9558235366696426,2.9642791825919343,8.207,0.0,1.0010151955876356
8.208,1970-01-01 00:27:57.851272252,42.96045304347826,-81.31074004347826,240.7,242.59681076581967,0.38600911111154057,0.04347826086956519,4.0,0.022577973585062146,0.8731983372525178,2.952730297761271,2.9630285092224806,8.208,0.0,1.0010151955876356
8.208840371313244,1970-01-01 00:27:58.000000000,42.960453,-81.310728,240.7,242.5800195821633,0.38619722409669066,0.0,4.0,0.02260160120203558,0.8192639284153529,2.94964352617028,2.9619673266288116,8.208840371313244,0.0,1.0010151955876356
8.209000000000001,1970-01-01 00:27:58.028525326,42.960452583333335,-81.31071658333333,240.72916666666666,242.56358440616643,0.38654084908952413,-0.02916666666666738,4.0,0.022592540101464314,0.8592170705370563,2.950826528016021,2.961095385459423,8.209000000000001,1.8271569640189504,1.1039318726926473
8.21,1970-01-01 00:27:58.207223321,42.96045216666667,-81.31070516666666,240.75833333333333,242.54714923016957,0.3868844740823576,-0.05833333333333476,4.0,0.022583479000893043,0.8991702126587597,2.952010479166226,2.9604124373359895,8.21,2.1188236306857977,1.1211583567565713
8.211,1970-01-01 00:27:58.385921316,42.960451750000004,-81.31069375,240.7875,242.5307140541727,0.38722809907519107,-0.08750000000000213,4.0,0.022574417900321775,0.9391233547804632,2.953195380764011,2.959918234849551,8.211,2.410490297352645,1.1386109850306168
8.212000000000002,1970-01-01 00:27:58.564619310,42.96045133333333,-81.31068233333333,240.81666666666666,242.51427887817584,0.38757172406802454,-0.11666666666666951,4.0,0.022565356799750507,0.9790764969021666,2.9543812339543316,2.9596125315567194,8.212000000000002,2.7021569640189744,1.1562921676460143
8.213000000000001,1970-01-01 00:27:58.743317305,42.960450916666666,-81.31067091666667,240.84583333333333,242.49784370217898,0.387915349060858,-0.1458333333333369,4.0,0.022556295699179236,1.01902963902387,2.955568039883982,2.9594950819759056,8.213000000000001,2.9938236306858217,1.1742043487981988
8.214,1970-01-01 00:27:58.922015300,42.9604505,-81.3106595,240.875,242.48140852618212,0.3882589740536915,-0.17500000000000426,4.0,0.022547234598607968,1.0589827811455734,2.956755799701599,2.95956564158357,8.214,3.2854902973526685,1.192350007995994
8.215,1970-01-01 00:27:59.100713294,42.960450083333335,-81.31064808333333,240.90416666666667,242.46497335018526,0.38860259904652494,-0.20416666666667166,4.0,0.0225381734980367,1.0989359232672768,2.957944514557668,2.9598239668104886,8.215,3.577156964019516,1.210731661311115
8.216000000000001,1970-01-01 00:27:59.279411289,42.96044966666667,-81.31063666666667,240.93333333333334,242.4485381741884,0.3889462240393584,-0.23333333333333903,4.0,0.02252911239746543,1.1388890653889803,2.959134185604525,2.9602698150380444,8.216000000000001,3.868823630685845,1.2293518626274758
8.217,1970-01-01 00:27:59.458109284,42.960449249999996,-81.31062525,240.9625,242.43210299819154,0.3892898490321919,-0.2625000000000064,4.0,0.02252005129689416,1.1788422075106837,2.9603248139963587,2.960902944594533,8.217,4.160490297352693,1.2482132048906993
8.218,1970-01-01 00:27:59.636807279,42.96044883333333,-81.31061383333333,240.99166666666667,242.41566782219468,0.38963347402502535,-0.2916666666666738,4.0,0.022510990196322894,1.2187953496323871,2.9615164008892187,2.961723114751495,8.218,4.452156964019539,1.2673183213572927
8.219000000000001,1970-01-01 00:27:59.815505273,42.960448416666665,-81.31060241666667,241.02083333333334,242.39923264619782,0.3899770990178588,-0.3208333333333412,4.0,0.022501929095751622,1.2587484917540905,2.962708947441016,2.962730085720061,8.219000000000001,2.9166666666669183,1.169443283144918
8.22,1970-01-01 00:27:59.994203268,42.960448,-81.31059099999999,241.05,242.38279747020096,0.3903207240106923,-0.3500000000000085,4.0,0.022492867995180355,1.298701633875794,2.9639024548115263,2.963923618647323,8.22,2.9166666666669183,1.169443283144918
8.221,1970-01-01 00:28:00.172901263,42.960447583333334,-81.31057958333332,241.07916666666665,242.36636229420407,0.39066434900352576,-0.3791666666666759,4.0,0.022483806894609087,1.3386547759974974,2.9650969241623955,2.965118113596159,8.221,2.916666666666634,1.1694432831449004
8.222000000000001,1970-01-01 00:28:00.351599257,42.96044716666667,-81.31056816666666,241.10833333333332,242.3499271182072,0.3910079739963592,-0.4083333333333433,4.0,0.022474745794037815,1.3786079181192008,2.966292356657144,2.966643173168668,8.222000000000001,2.9166666666666337,1.1694432831449004
8.223,1970-01-01 00:28:00.530297252,42.96044675,-81.31055674999999,241.1375,242.33349194221034,0.3913515989891927,-0.43750000000001066,4.0,0.022465684693466548,1.4185610602409042,2.967488753461167,2.968513451695824,8.223,2.9166666666666337,1.1694432831449004
8.224,1970-01-01 00:28:00.708995247,42.96044633333333,-81.31054533333332,241.16666666666666,242.31705676621348,0.39169522398202616,-0.46666666666667805,4.0,0.02245662359289528,1.4585142023626076,2.968686115741743,2.970744468015834,8.224,2.9166666666666337,1.1694432831449004
8.225000000000001,1970-01-01 00:28:00.887693242,42.960445916666664,-81.31053391666666,241.19583333333333,242.30062159021662,0.39203884897485963,-0.49583333333334545,4.0,0.02244756249232401,1.498467344484311,2.9698844446680335,2.9733526746473347,8.225000000000001,2.916666666666116,1.1694432831448685
8.226,1970-01-01 00:28:01.066391236,42.9604455,-81.31052249999999,241.225,242.28418641421976,0.3923824739676931,-0.5250000000000128,4.0,0.02243850139175274,1.5384204866060145,2.971083741411089,2.976355534021983,8.226,2.916666666666634,1.1694432831449004
8.227,1970-01-01 00:28:01.245089231,42.96044508333333,-81.31051108333332,241.25416666666666,242.2677512382229,0.39272609896052657,-0.5541666666666802,4.0,0.022429440291181473,1.578373628727718,2.972284007143853,2.9797716026590026,8.227,2.916666666666634,1.1694432831449004
8.228000000000002,1970-01-01 00:28:01.423787226,42.96044466666667,-81.31049966666666,241.28333333333333,242.25131606222604,0.39306972395336004,-0.5833333333333476,4.0,0.022420379190610202,1.6183267708494213,2.9734852430411656,2.9836206242956678,8.228000000000002,2.9166666666661163,1.1694432831448685
8.229000000000001,1970-01-01 00:28:01.602485220,42.960444249999995,-81.31048824999999,241.3125,242.23488088622918,0.3934133489461935,-0.6125000000000149,4.0,0.022411318090038934,1.6582799129711248,2.974687450279764,2.987923633142066,8.229000000000001,2.916666666666634,1.1694432831449004
8.23,1970-01-01 00:28:01.781183215,42.96044383333333,-81.31047683333333,241.34166666666667,242.21844571023232,0.393756973939027,-0.6416666666666824,4.0,0.022402256989467666,1.6982330550928282,2.975890630038292,2.9927030686102274,8.23,2.916666666666634,1.1694432831449004
8.231,1970-01-01 00:28:01.959881210,42.96044341666666,-81.31046541666666,241.37083333333334,242.20201053423546,0.39410059893186045,-0.6708333333333497,4.0,0.022393195888896395,1.7381861972145316,2.977094783497301,2.997982903082522,8.231,2.9166666666669183,1.169443283144918
8.231224506101569,1970-01-01 00:28:02.000000000,42.960443,-81.310454,241.4,242.1855753582386,0.3944442239246939,-0.700000000000017,4.0,0.022384134788325127,1.778139339336235,2.9782999118392524,3.0037887845390427,8.231224506101569,3.9241480615832414,1.2329109411718524
8.232000000000001,1970-01-01 00:28:02.147703510,42.9604428125,-81.31044193749999,241.39375,242.1610338189221,0.3943329992458757,-0.6500000000000163,3.9375,0.02196956543618178,1.6696353486981472,2.987086849333937,3.0101481961669885,8.232000000000001,3.551887595111798,1.2091297131486538
8.233,1970-01-01 00:28:02.338167303,42.960442625,-81.310429875,241.38750000000002,242.13649227960565,0.39422177456705754,-0.6000000000000156,3.875,0.021554996084038436,1.5611313580600594,2.996211786888589,3.0170906354376026,8.233,3.197720928444972,1.186864844416243
8.234,1970-01-01 00:28:02.528631096,42.9604424375,-81.31041781249999,241.38125,242.11195074028916,0.39411054988823935,-0.5500000000000149,3.8125,0.02114042673189509,1.4526273674219716,3.005694609314568,3.0246478155712717,8.234,2.8435542617783813,1.1649468266010556
8.235000000000001,1970-01-01 00:28:02.719094890,42.96044225,-81.31040575,241.375,242.0874092009727,0.39399932520942116,-0.5000000000000142,3.75,0.020725857379751744,1.3441233767838838,3.01555679240849,3.0328538928356545,8.235000000000001,2.4893875951116673,1.1433711816488648
8.236,1970-01-01 00:28:02.909558683,42.9604420625,-81.3103936875,241.36875,242.0628676616562,0.39388810053060297,-0.4500000000000135,3.6875,0.0203112880276084,1.235619386145796,3.0258215653185188,3.0417457237564314,8.236,2.1352209284448422,1.1221335095980574
8.237,1970-01-01 00:28:03.100022476,42.960441875,-81.31038162499999,241.3625,242.03832612233975,0.3937768758517848,-0.4000000000000128,3.625,0.019896718675465053,1.1271153955077082,3.036514093209117,3.0505333876039624,8.237,1.7810542617785352,1.1012294852812925
8.238000000000001,1970-01-01 00:28:03.290486270,42.9604416875,-81.3103695625,241.35625000000002,242.01378458302327,0.3936656511729666,-0.3500000000000121,3.5625,0.019482149323321707,1.0186114048696204,3.0476616832478194,3.0592183452695667,8.238000000000001,1.4268875951118212,1.0806548550270203
8.239,1970-01-01 00:28:03.480950063,42.9604415,-81.3103575,241.35000000000002,241.98924304370678,0.3935544264941484,-0.30000000000001137,3.5,0.01906757997117836,0.9101074142315326,3.059294017463527,3.067801993385171,8.239,1.072720928444996,1.0604054333612927
8.24,1970-01-01 00:28:03.671413856,42.960441312499995,-81.31034543749999,241.34375,241.96470150439032,0.3934432018153302,-0.25000000000001066,3.4375,0.018653010619035015,0.8016034235934448,3.0714434166569173,3.0762856679291404,8.24,0.7185542617778868,1.0404770997093105
8.241000000000001,1970-01-01 00:28:03.861877650,42.960441124999996,-81.310333375,241.3375,241.94015996507383,0.393331977136512,-0.20000000000000995,3.375,0.01823844126689167,0.693099432955357,3.0841451403037876,3.084670647582484,8.241000000000001,-0.643093799804633,0.9667769512016093
8.242,1970-01-01 00:28:04.052341443,42.960440937499996,-81.3103213125,241.33125,241.91561842575737,0.39322075245769383,-0.15000000000000924,3.3125,0.017823871914748324,0.5845954423172692,3.0974377283115078,3.0929581568558824,8.242,-0.6250000000000134,0.967726544571775
8.243,1970-01-01 00:28:04.242805236,42.96044075,-81.31030924999999,241.32500000000002,241.89107688644089,0.39310952777887564,-0.10000000000000853,3.25,0.017409302562604978,0.47609145167918143,3.1113633916051393,3.101149369006065,8.243,-0.6250000000000134,0.967726544571775
8.244000000000002,1970-01-01 00:28:04.433269030,42.9604405625,-81.3102971875,241.31875000000002,241.86653534712443,0.39299830310005746,-0.050000000000007816,3.1875,0.016994733210461632,0.36758746104109363,3.1259684598812805,3.1089158073198475,8.244000000000002,-0.6249999999996182,0.9677265445717957
8.245000000000001,1970-01-01 00:28:04.623732823,42.960440375,-81.310285125,241.3125,241.84199380780794,0.39288707842123927,-7.105427357601002e-15,3.125,0.016580163858318286,0.25908347040300583,3.1413038965355624,3.116243897369571,8.245000000000001,-0.6250000000000134,0.967726544571775
8.246,1970-01-01 00:28:04.814196617,42.9604401875,-81.3102730625,241.30625,241.81745226849148,0.3927758537424211,0.049999999999993605,3.0625,0.01616559450617494,0.15057947976491803,3.1574258928225465,3.123119156613973,8.246,-0.6250000000000134,0.967726544571775
8.2469755312556,1970-01-01 00:28:05.000000000,42.96044,-81.310261,241.3,241.792910729175,0.3926646290636029,0.09999999999999432,3.0,0.015751025154031595,0.042075489126830234,3.174396555845898,3.129526127452145,8.2469755312556,-0.6265676550763548,0.9676442401748526
8.247,1970-01-01 00:28:05.004629858,42.9604402173913,-81.31024973913043,241.26521739130436,241.77711084917613,0.391392133885798,0.1304347826086907,3.0434782608695654,0.015985326333932903,0.08071644755512392,3.173200009904304,3.135448303077528,8.247,-14.77918557355115,0.4271631271877485
8.248000000000001,1970-01-01 00:28:05.193845044,42.960440434782605,-81.31023847826087,241.2304347826087,241.76131096917723,0.39011963870799315,0.1608695652173871,3.0869565217391304,0.01621962751383421,0.1193574059834176,3.172038033452753,3.1408680452599054,8.248000000000001,-15.064511660507247,0.41960341714323623
8.249,1970-01-01 00:28:05.383060230,42.960440652173915,-81.3102272173913,241.19565217391306,241.74551108917836,0.38884714353018834,0.1913043478260835,3.130434782608696,0.01645392869373552,0.15799836441171128,3.1709091497000568,3.14576649305101,8.249,-15.349837747463681,0.41213892852536305
8.25,1970-01-01 00:28:05.572275415,42.96044086956522,-81.31021595652173,241.1608695652174,241.7297112091795,0.3875746483523835,0.22173913043477989,3.1739130434782608,0.01668822987363683,0.19663932284000496,3.1698119647910636,3.1501234612542035,8.25,-15.635163834420506,0.4047671817131976
8.251000000000001,1970-01-01 00:28:05.761490601,42.96044108695652,-81.31020469565217,241.12608695652176,241.71391132918063,0.3863021531745786,0.25217391304347625,3.217391304347826,0.016922531053538137,0.23528028126829864,3.168745162065201,3.1539173273161825,8.251000000000001,-15.920489921376605,0.3974856586082558
8.252,1970-01-01 00:28:05.950705787,42.960441304347825,-81.3101934347826,241.09130434782608,241.69811144918174,0.38502965799677374,0.28260869565217267,3.260869565217391,0.017156832233439445,0.2739212396965923,3.1677074967854577,3.157124905083183,8.252,-16.205816008333606,0.3902918015150497
8.253,1970-01-01 00:28:06.139920973,42.96044152173913,-81.31018217391303,241.05652173913043,241.68231156918287,0.38375716281896893,0.3130434782608691,3.3043478260869565,0.017391133413340754,0.312562198124886,3.1666977912934535,3.1597213036087632,8.253,-16.491142095290435,0.3831830120218759
8.254000000000001,1970-01-01 00:28:06.329136158,42.96044173913043,-81.31017091304348,241.02173913043478,241.666511689184,0.38248466764116407,0.34347826086956545,3.3478260869565215,0.017625434593242062,0.3512031565531797,3.1657149305509362,3.1616797688963523,8.254000000000001,-16.776468182246255,0.37615664988138864
8.255,1970-01-01 00:28:06.518351344,42.96044195652174,-81.31015965217391,240.98695652173913,241.65071180918514,0.3812121724633592,0.3739130434782618,3.391304347826087,0.01785973577314337,0.38984411498147337,3.1647578580322286,3.1629715060967376,8.255,-17.06179426920297,0.3692100318911895
8.256,1970-01-01 00:28:06.707566530,42.960442173913044,-81.31014839130434,240.95217391304348,241.63491192918625,0.37993967728555433,0.40434782608695824,3.4347826086956523,0.01809403695304468,0.42848507340976705,3.163825571935807,3.1635654792451735,8.256,-17.345552701083342,0.3623779687360864
8.257000000000001,1970-01-01 00:28:06.896781716,42.96044239130435,-81.31013713043478,240.91739130434783,241.61911204918738,0.37866718210774947,0.43478260869565466,3.4782608695652173,0.018328338132945987,0.46712603183806073,3.1629171216864553,3.163428185098076,8.257000000000001,-3.4782608695647603,0.8273982159488033
8.258000000000001,1970-01-01 00:28:07.085996901,42.96044260869565,-81.31012586956521,240.88260869565218,241.6033121691885,0.37739468692994466,0.465217391304351,3.5217391304347827,0.018562639312847296,0.5057669902663544,3.1620316047023276,3.1625233969942084,8.258000000000001,-3.4782608695653776,0.8273982159487749
8.259,1970-01-01 00:28:07.275212087,42.960442826086954,-81.31011460869566,240.84782608695653,241.58751228918965,0.3761221917521398,0.4956521739130474,3.5652173913043477,0.018796940492748604,0.544407948694648,3.1611681634037914,3.161454502300256,8.259,-3.4782608695653776,0.8273982159487749
8.260000000000002,1970-01-01 00:28:07.464427273,42.96044304347826,-81.31010334782609,240.81304347826088,241.57171240919075,0.3748496965743349,0.5260869565217439,3.608695652173913,0.019031241672649912,0.5830489071229418,3.1603259824432306,3.16020112555175,8.260000000000002,-3.4782608695647594,0.8273982159488034
8.261000000000001,1970-01-01 00:28:07.653642459,42.96044326086957,-81.31009208695652,240.77826086956523,241.5559125291919,0.37357720139653006,0.5565217391304402,3.6521739130434785,0.01926554285255122,0.6216898655512355,3.1595042861369835,3.1587403707373154,8.261000000000001,-3.4782608695653776,0.8273982159487749
8.262,1970-01-01 00:28:07.842857645,42.96044347826087,-81.31008082608696,240.74347826086958,241.54011264919302,0.37230470621872525,0.5869565217391366,3.6956521739130435,0.01949984403245253,0.6603308239795291,3.1587023360824245,3.157046323105215,8.262,-3.4782608695650934,0.8273982159487879
8.263,1970-01-01 00:28:08.032072829,42.960443695652174,-81.31006956521739,240.70869565217393,241.52431276919415,0.3710322110409204,0.617391304347833,3.7391304347826084,0.019734145212353837,0.6989717824078228,3.1579194289447976,3.1550894269783245,8.263,-3.4782608695650934,0.8273982159487879
8.264000000000001,1970-01-01 00:28:08.221288016,42.96044391304348,-81.31005830434782,240.67391304347825,241.50851288919526,0.3697597158631155,0.6478260869565293,3.782608695652174,0.019968446392255146,0.7376127408361165,3.15715489439986,3.1528357001244647,8.264000000000001,-3.4782608695653776,0.8273982159487749
8.265,1970-01-01 00:28:08.410503202,42.96044413043478,-81.31004704347826,240.6391304347826,241.4927130091964,0.36848722068531065,0.6782608695652258,3.8260869565217392,0.020202747572156454,0.7762536992644102,3.1564080932196856,3.150245729814105,8.265,-3.4782608695653776,0.8273982159487749
8.266,1970-01-01 00:28:08.599718388,42.96044434782608,-81.3100357826087,240.60434782608695,241.47691312919753,0.3672147255075058,0.7086956521739222,3.869565217391304,0.020437048752057763,0.8148946576927039,3.155678415490141,3.147273372986271,8.266,-3.4782608695653776,0.8273982159487749
8.267000000000001,1970-01-01 00:28:08.788933573,42.960444565217394,-81.31002452173912,240.5695652173913,241.46111324919866,0.36594223032970097,0.7391304347826185,3.9130434782608696,0.02067134993195907,0.8535356161209975,3.1549652789495894,3.143864048807388,8.267000000000001,-3.4782608695653776,0.8273982159487749
8.268,1970-01-01 00:28:08.978148759,42.9604447826087,-81.31001326086957,240.53478260869565,241.44531336919977,0.3646697351518961,0.769565217391315,3.9565217391304346,0.02090565111186038,0.8921765745492912,3.154268127439304,3.139952459447888,8.268,-3.4782608695653776,0.8273982159487749
8.268115483547362,1970-01-01 00:28:09.000000000,42.960445,-81.310002,240.5,241.4295134892009,0.36339723997409124,0.8000000000000114,4.0,0.021139952291761688,0.930817532977585,3.153586429456934,3.1354594922572465,8.268115483547362,-6.1423450928119845,0.7123808500211535
