Distance,time,Lat,Lon,Elevation,Elevation SavGol,Elevation SavGol Difference,Elevation Difference,Time Difference,DistanceChangeInKM,Angle Difference,PaceInMinPerKM,Distance,Gradient,Minetti GAP,Strava GAP
42.362358529703684,1970-01-01 02:26:39+00:00,43.647901,-79.376427,80.9,80.40755441086084,0.009183178445624662,-0.10000000000000853,1.0,0.004184158985935937,13.45503732568585,3.7613185973113192,42.362358529703684,1.1949832730560008,1.0673592660706674,1.031519656342018
42.36683291370383,1970-01-01 02:26:40+00:00,43.647887,-79.376479,80.9,80.41765089571942,0.010096484858578947,0.0,1.0,0.0044743840001473245,3.4901349322697115,3.7808807237417548,42.36683291370383,1.1949832730560008,1.0673592660706674,1.031519656342018
42.37104245284181,1970-01-01 02:26:41+00:00,43.647879,-79.37653,80.9,80.42721625241388,0.009565356694466232,0.0,1.0,0.0042095391379817215,18.97367689862972,3.8040139320647643,42.37104245284181,0.0,1.0010151955345024,0.9935324955240565
42.37402241874758,1970-01-01 02:26:42+00:00,43.647885,-79.376566,80.8,80.43773287563538,0.010516623221491272,0.10000000000000853,1.0,0.00297996590576588,11.211929457988276,3.806867572657042,42.37402241874758,-1.6778715455522613,0.9137655358304825,0.9492776792296093
42.378492367713015,1970-01-01 02:26:43+00:00,43.647876,-79.37662,80.8,80.44775563429087,0.010022758655495068,0.0,1.0,0.004469948965436288,26.911017852915734,3.817262211361026,42.378492367713015,-1.6778715455522613,0.9137655358304825,0.9492776792296093
42.38287164380908,1970-01-01 02:26:44+00:00,43.64788,-79.376674,80.8,80.4587662265557,0.011010592264824481,0.0,1.0,0.004379276096067031,17.151795802627475,3.8117246554918185,42.38287164380908,0.0,1.0010151955345024,0.9935324955240565
42.386503899292215,1970-01-01 02:26:45+00:00,43.647881,-79.376719,80.8,80.46931882482104,0.010552598265348934,0.0,1.0,0.003632255483132951,37.5588349210376,3.788431897625811,42.386503899292215,0.0,1.0010151955345024,0.9935324955240565
42.38988242874128,1970-01-01 02:26:46+00:00,43.64789,-79.376759,80.8,80.48089443074628,0.011575605925230548,0.0,1.0,0.0033785294490655815,13.982413843286508,3.7696367100431862,42.38988242874128,0.0,1.0010151955345024,0.9935324955240565
42.39343404322702,1970-01-01 02:26:47+00:00,43.647891,-79.376803,80.8,80.49347458666134,0.012580155915060232,0.0,1.0,0.0035516144857368204,14.719395330726115,3.7479913900027575,42.39343404322702,0.0,1.0010151955345024,0.9935324955240565
42.39698565771386,1970-01-01 02:26:48+00:00,43.64789,-79.376847,80.8,80.50704083489607,0.01356624823473851,0.0,1.0,0.003551614486845267,19.86051079777232,3.765728742571444,42.39698565771386,0.0,1.0010151955345024,0.9935324955240565
42.40293566970072,1970-01-01 02:26:49+00:00,43.647861,-79.376909,80.8,80.52157471778041,0.014533882884336435,0.0,1.0,0.00595001198685452,36.089352379110494,3.74539811097772,42.40293566970072,0.0,1.0010151955345024,0.9935324955240565
42.40844688251813,1970-01-01 02:26:50+00:00,43.647836,-79.376968,80.8,80.5370577776442,0.015483059863782955,0.0,1.0,0.005511212817410183,23.802654533870736,3.7370221917588293,42.40844688251813,0.0,1.0010151955345024,0.9935324955240565
42.412886217965884,1970-01-01 02:26:51+00:00,43.647821,-79.377019,80.8,80.55347155681731,0.0164137791731207,0.0,1.0,0.004439335447756321,39.544830909423354,3.7354925713371188,42.412886217965884,0.0,1.0010151955345024,0.9935324955240565
42.41785770253506,1970-01-01 02:26:52+00:00,43.647804,-79.377076,80.8,80.57079759762964,0.017326040812321253,0.0,1.0,0.0049714845691752885,18.946368472713118,3.718995014808972,42.41785770253506,0.0,1.0010151955345024,0.9935324955240565
42.42275493542952,1970-01-01 02:26:53+00:00,43.647791,-79.377134,80.8,80.58973147563835,0.018933878008709826,0.0,1.0,0.0048972328944643095,19.85044666406759,3.7244916443113656,42.42275493542952,0.0,1.0010151955345024,0.9935324955240565
42.42787604828487,1970-01-01 02:26:54+00:00,43.647774,-79.377193,80.8,80.60879131853916,0.019059842900816193,0.0,1.0,0.005121112855348997,15.77165653745135,3.7071710871971217,42.42787604828487,0.0,1.0010151955345024,0.9935324955240565
42.43319151945513,1970-01-01 02:26:55+00:00,43.64776,-79.377256,80.8,80.63013646478136,0.021345146242197188,0.0,1.0,0.005315471170256103,11.267158131990499,3.678548389328052,42.43319151945513,0.0,1.0010151955345024,0.9935324955240565
42.4386524324246,1970-01-01 02:26:56+00:00,43.647744,-79.37732,80.8,80.65367776033564,0.023541295554281305,0.0,1.0,0.005460912969468268,7.679194187182048,3.6294224935909156,42.4386524324246,0.0,1.0010151955345024,0.9935324955240565
42.44223369352416,1970-01-01 02:26:57+00:00,43.647736,-79.377363,80.8,80.67861271446135,0.024934954125711783,0.0,1.0,0.0035812610995620275,8.822684430839729,3.6580880342947717,42.44223369352416,0.0,1.0010151955345024,0.9935324955240565
42.44936945319737,1970-01-01 02:26:58+00:00,43.647721,-79.377449,80.8,80.70417488111319,0.02556216665183797,0.0,1.0,0.007135759673211339,2.4945241720869262,3.6891073423112744,42.44936945319737,0.0,1.0010151955345024,0.9935324955240565
42.451682468147965,1970-01-01 02:26:59+00:00,43.647714,-79.377476,80.8,80.73034754391067,0.026172662797478097,0.0,1.0,0.0023130149505945496,1.994915729978885,3.6701130412354046,42.451682468147965,0.0,1.0010151955345024,0.9935324955240565
42.45399548333442,1970-01-01 02:27:00+00:00,43.647707,-79.377503,80.8,80.75854205292792,0.028194509017254177,0.0,1.0,0.0023130151864521054,22.092786836768624,3.6796159606968133,42.45399548333442,0.0,1.0010151955345024,0.9935324955240565
42.45901730057362,1970-01-01 02:27:01+00:00,43.647711,-79.377565,80.8,80.78724292897071,0.028700876042790924,0.0,1.0,0.005021817239203585,30.86124177341341,3.6812640662172673,42.45901730057362,0.0,1.0010151955345024,0.9935324955240565
42.46388127132468,1970-01-01 02:27:02+00:00,43.64772,-79.377624,80.8,80.81643415217441,0.02919122320369638,0.0,1.0,0.004863970751060265,25.697554917270935,3.677245679806046,42.46388127132468,0.0,1.0010151955345024,0.9935324955240565
42.46840677499092,1970-01-01 02:27:03+00:00,43.647728,-79.377679,80.8,80.84538566944708,0.028951517272673755,0.0,1.0,0.00452550366623683,19.225711579082088,3.6522644681288017,42.46840677499092,0.0,1.0010151955345024,0.9935324955240565
42.4728663319424,1970-01-01 02:27:04+00:00,43.647732,-79.377734,80.8,80.87483084233098,0.029445172883896475,0.0,1.0,0.004459556951481147,37.278373809950324,3.6299000452935846,42.4728663319424,0.0,1.0010151955345024,0.9935324955240565
