,Course,Turn Stdev,Total Degrees Turned,Perimeters/Total Distance,Course Area (m^2),Number of Hairpin Turns,Hill Stdev,Tallest Hill (m),Length of tallest hill (m),Number of Hills,Total Elevation Gain (m),Total Elevation Gain Unfiltered (m),Start Lat,Start Lon,Course Ave. GAP - Strava,Course Ave. GAP - Minetti
0,Coolsaet,10.783071414590607,12212.16198247306,43408.46702573076,6000886.784869569,3,9.363193669059363,22.900000000000006,2.443978133168322,6,244.1999999999995,244.2000000000006,43.651081,-79.386515,0.9981697536056535,1.0038045390878172
1,Setlack,22.1678323894314,92383.5086783943,43725.21076031167,5981733.010095045,60,9.235438601854025,22.900000000000006,2.468731250205174,7,257.1999999999938,257.2000000000005,43.65105,-79.386529,1.001401406849367,1.0069192205024016
